"","long","lat","disease"
"1","144.1135","-38.37217","P"
"2","144.1136","-38.37212","P"
"3","144.1137","-38.37209","P"
"4","144.1138","-38.37203","P"
"5","144.1139","-38.37156","P"
"6","144.1138","-38.37162","P"
"7","144.1141","-38.37140","P"
"8","144.1140","-38.37148","P"
"9","144.1142","-38.37162","N"
"10","144.1141","-38.37153","N"
"11","144.1141","-38.37184","N"
"12","144.1140","-38.37176","N"
"13","144.1151","-38.37223","N"
"14","144.1151","-38.37215","N"
"15","144.1150","-38.37231","N"
"16","144.1149","-38.37240","N"
"17","144.1147","-38.37253","N"
"18","144.1147","-38.37245","N"
"19","144.1146","-38.37223","N"
"20","144.1146","-38.37234","N"
"21","144.1144","-38.37242","N"
"22","144.1143","-38.37234","N"
"23","144.1142","-38.37242","N"
"24","144.1142","-38.37234","N"
"25","144.1139","-38.37231","N"
"26","144.1139","-38.37223","N"
"27","144.1137","-38.37287","N"
"28","144.1137","-38.37278","N"
"29","144.1135","-38.37231","N"
"30","144.1135","-38.37223","N"
"31","144.1139","-38.37331","P"
"32","144.1139","-38.37323","P"
"33","144.1145","-38.37126","P"
"34","144.1144","-38.37131","P"
"35","144.1146","-38.37145","P"
"36","144.1146","-38.37137","P"
"37","144.1145","-38.37148","P"
"38","144.1146","-38.37142","P"
"39","144.1145","-38.37206","P"
"40","144.1145","-38.37198","P"
"41","144.1148","-38.37209","P"
"42","144.1149","-38.37209","P"
"43","144.1151","-38.37209","P"
"44","144.1152","-38.37209","P"
"45","144.1149","-38.37270","P"
"46","144.1149","-38.37262","P"
"47","144.1146","-38.37276","P"
"48","144.1146","-38.37265","P"
"49","144.1142","-38.37256","A"
"50","144.1142","-38.37248","A"
"51","144.1139","-38.37284","N"
"52","144.1139","-38.37273","N"
"53","144.1140","-38.37295","P"
"54","144.1140","-38.37303","P"
"55","144.1136","-38.37317","P"
"56","144.1136","-38.37312","P"
"57","144.1136","-38.37262","P"
"58","144.1136","-38.37251","P"
"59","144.1138","-38.37167","N"
"60","144.1139","-38.37165","N"
"61","144.1143","-38.37145","N"
"62","144.1142","-38.37151","N"
"63","144.1144","-38.37134","N"
"64","144.1145","-38.37131","N"
"65","144.1144","-38.37151","N"
"66","144.1144","-38.37142","N"
"67","144.1143","-38.37162","N"
"68","144.1143","-38.37151","N"
"69","144.1144","-38.37206","N"
"70","144.1144","-38.37198","N"
"71","144.1148","-38.37215","N"
"72","144.1149","-38.37215","N"
"73","144.1149","-38.37217","N"
"74","144.1150","-38.37215","N"
"75","144.1148","-38.37253","N"
"76","144.1148","-38.37242","N"
"77","144.1145","-38.37256","N"
"78","144.1144","-38.37245","N"
"79","144.1138","-38.37215","N"
"80","144.1137","-38.37226","N"
"81","144.1136","-38.37226","N"
"82","144.1135","-38.37226","N"
"83","144.1137","-38.37251","N"
"84","144.1137","-38.37242","N"
"85","144.1138","-38.37287","N"
"86","144.1138","-38.37278","N"
"87","144.1139","-38.37220","N"
"88","144.1138","-38.37209","N"
"89","144.1134","-38.37290","P"
"90","144.1134","-38.37281","P"
